id,kShortName,kDemangledName,ground_truth,duration,overlap_ratio,slowdown,ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
13,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",221509,338278,1.0,0.5271523956137223,12,vectorized_elementwise_kernel,7.85,108,87.4,87.4,91.97,100.0,0.0,48.71
14,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",146178,180323,1.0,0.2335850812023697,13,vectorized_elementwise_kernel,8.59,108,84.73,84.73,88.64,100.0,0.0,61.63
15,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",150179,157603,1.0,0.04943434168558853,14,vectorized_elementwise_kernel,8.57,108,84.8,84.8,88.74,100.0,0.0,61.61
16,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",148450,157187,1.0,0.05885483327719771,15,vectorized_elementwise_kernel,8.58,108,83.97,83.97,89.37,100.0,0.0,61.46
17,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",149027,149187,0.1932675099036779,0.005555154890314738,16,vectorized_elementwise_kernel,8.62,108,84.29,84.29,89.37,100.0,0.0,61.56
18,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",223492,223428,0.0,0.0,17,vectorized_elementwise_kernel,6.48,108,87.32,87.32,92.43,100.0,0.0,48.56
19,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",218180,218852,0.0,0.0,18,vectorized_elementwise_kernel,6.46,108,86.5,86.5,91.9,100.0,27.67,44.3
20,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",149251,148291,0.0,0.0,19,vectorized_elementwise_kernel,8.58,108,84.97,84.97,88.83,100.0,0.0,61.9
21,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",221380,222340,0.0,0.0,20,vectorized_elementwise_kernel,6.48,108,86.65,86.65,91.72,100.0,27.66,44.08
22,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,4107149,4104363,0.0,0.0,21,ampere_sgemm_128x32_tn,89.1,108,80.33,2.45,45.63,50.0,0.13,96.74
23,ampere_sgemm_64x32_sliced1x4_nt,ampere_sgemm_64x32_sliced1x4_nt,3937354,3936488,0.0,0.0,22,ampere_sgemm_64x32_sliced1x4_nt,92.96,108,53.01,6.38,23.89,25.0,0.08,82.76
24,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",118946,116898,0.0,0.0,23,reduce_kernel,11.42,108,60.05,60.05,55.61,62.5,4.91,20.68
25,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3680,3680,0.0,0.0,24,vectorized_elementwise_kernel,0.04,108,0.57,0.21,6.14,100.0,0.0,80.94
26,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",15168,15521,0.0,0.0,25,vectorized_elementwise_kernel,7.31,108,44.25,37.99,72.34,100.0,0.0,51.71
27,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",65666,66241,0.05555471686719705,0.1576181928242926,26,layer_norm_grad_input_kernel_vectorized,37.29,108,65.73,65.73,64.97,75.0,44.54,53.42
28,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",97985,552842,1.0,4.642108485992754,27,GammaBetaBackwardCUDAKernel_32x32,12.09,108,38.13,38.13,49.91,100.0,0.09,18.9
29,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",52641,82753,1.0,0.5720256074162725,28,vectorized_elementwise_kernel,6.6,108,73.12,73.12,87.81,100.0,29.19,40.74
30,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4608,124322,1.0,25.97960069444444,29,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100.0,0.0,92.38
31,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4096,72354,1.0,16.66455078125,30,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.2,100.0,0.0,89.19
32,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",43104,52064,1.0,0.2078693392724573,31,vectorized_elementwise_kernel,15.44,108,68.87,68.87,84.62,100.0,0.0,54.88
33,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,1044276,1044787,0.08401425362298727,0.005824419264673717,32,ampere_sgemm_128x32_tn,87.72,108,80.17,2.46,45.64,50.0,0.51,97.37
34,ampere_sgemm_64x32_sliced1x4_nt,ampere_sgemm_64x32_sliced1x4_nt,1109941,1111764,0.0,0.0,33,ampere_sgemm_64x32_sliced1x4_nt,82.38,108,46.95,6.02,20.82,25.0,0.07,81.39
35,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",44001,45953,0.0,0.0,34,reduce_kernel,9.44,108,32.03,32.03,41.64,62.5,8.3,7.12
36,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4064,4000,0.0,0.0,35,vectorized_elementwise_kernel,0.02,108,0.5,0.1,6.21,100.0,0.0,89.0
37,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",7808,7713,0.0,0.0,36,vectorized_elementwise_kernel,4.03,108,18.86,18.73,44.2,100.0,0.0,53.86
38,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",52385,52481,0.07560831539033173,0.02423788513702827,37,vectorized_elementwise_kernel,6.45,108,75.93,75.93,87.91,100.0,0.0,45.74
39,reduce_kernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",72097,122434,1.0,0.6981843904739449,38,reduce_kernel,75.79,108,23.92,23.92,90.24,100.0,10.44,8.86
40,elementwise_kernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7424,45025,1.0,5.064789870689655,39,elementwise_kernel,6.06,108,12.18,3.22,20.33,100.0,0.0,86.8
41,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, at::detail::Array<char *, (int)1>>(int, T2, T3)",69153,74881,1.0,0.08283082440385811,40,vectorized_elementwise_kernel,14.49,108,24.14,4.91,9.28,100.0,0.0,99.74
42,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,"fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyTorchMemEffAttention::AttentionBackwardKernel<cutlass::arch::Sm80, float, (bool)1, (bool)1, (bool)0, (int)64, (int)64, (int)64, (bool)0>::Params)",1975077,1997412,0.00863517391504607,1.309576389024331,41,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.58,108,29.8,11.58,12.18,12.5,17.0,81.99
43,CatArrayBatchedCopy_aligned16_contig,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",118018,117121,0.0,0.0,42,CatArrayBatchedCopy_aligned16_contig,57.78,108,74.67,74.67,90.96,100.0,60.0,62.88
44,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,3092537,3091897,0.0,0.0,43,ampere_sgemm_128x32_tn,88.68,108,80.07,2.25,45.64,50.0,0.18,97.2
45,ampere_sgemm_128x32_sliced1x4_nt,ampere_sgemm_128x32_sliced1x4_nt,2799060,2797523,0.0,0.0,44,ampere_sgemm_128x32_sliced1x4_nt,98.09,108,40.4,4.94,12.5,12.5,0.0,85.52
46,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",101217,101601,0.0,0.0,45,reduce_kernel,12.1,108,51.5,51.5,57.37,62.5,6.37,19.54
47,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3840,3808,0.0,0.0,46,vectorized_elementwise_kernel,0.04,108,0.53,0.16,6.16,100.0,0.0,84.07
48,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",12929,13121,0.0,0.0,47,vectorized_elementwise_kernel,6.62,108,32.87,32.87,66.48,100.0,0.0,51.85
49,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",64225,65601,0.04048718769530953,0.5291718215798186,48,layer_norm_grad_input_kernel_vectorized,37.4,108,66.03,66.03,65.21,75.0,44.54,53.79
50,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",97506,541290,1.0,4.551350686111624,49,GammaBetaBackwardCUDAKernel_32x32,12.14,108,38.2,38.2,49.91,100.0,0.09,18.82
51,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",52417,61441,1.0,0.1721578877081863,50,vectorized_elementwise_kernel,6.61,108,72.34,72.34,88.09,100.0,29.24,41.2
52,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4160,17313,1.0,3.161778846153846,51,vectorized_elementwise_kernel,0.02,108,0.46,0.09,6.21,100.0,0.0,88.81
53,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4096,8800,1.0,1.1484375,52,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.21,100.0,0.0,91.46
54,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",42561,49121,1.0,0.1541317168299617,53,vectorized_elementwise_kernel,15.45,108,69.7,69.7,85.25,100.0,0.0,54.38
55,ampere_sgemm_128x64_tn,ampere_sgemm_128x64_tn,3817766,3817702,0.01118159563004132,-0.00149922524178349,54,ampere_sgemm_128x64_tn,95.86,108,48.15,2.06,23.96,25.0,0.36,98.93
56,ampere_sgemm_128x128_nt,ampere_sgemm_128x128_nt,3722310,3722724,0.0,0.0,55,ampere_sgemm_128x128_nt,98.49,108,31.89,4.0,23.45,25.0,0.04,77.76
57,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",52224,50561,0.0,0.0,56,reduce_kernel,9.52,108,32.29,32.29,41.84,62.5,8.29,7.11
58,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3712,3680,0.0,0.0,57,vectorized_elementwise_kernel,0.02,108,0.5,0.1,6.21,100.0,0.0,90.89
59,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",16064,16256,0.0,0.0,58,vectorized_elementwise_kernel,7.31,108,43.54,37.3,73.43,100.0,0.0,52.12
60,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",216004,218212,0.01774421205066632,0.5760770270400564,59,vectorized_elementwise_kernel,6.46,108,87.72,87.72,92.05,100.0,0.0,49.01
61,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",219748,356871,1.0,0.6240011285654476,60,vectorized_elementwise_kernel,6.48,108,87.66,87.66,92.52,100.0,0.0,48.98
62,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",221828,275045,1.0,0.2399020863010982,61,vectorized_elementwise_kernel,7.84,108,87.54,87.54,92.15,100.0,0.0,48.54
63,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",146147,217188,1.0,0.4860927696086817,62,vectorized_elementwise_kernel,8.66,108,84.75,84.75,88.57,100.0,0.0,61.84
64,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",150595,159044,1.0,0.05610412032271988,63,vectorized_elementwise_kernel,8.59,108,84.44,84.44,88.71,100.0,0.0,61.28
65,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",148707,160866,1.0,0.0817648126853477,64,vectorized_elementwise_kernel,8.55,108,84.35,84.35,89.26,100.0,0.0,61.18
66,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",148898,148835,0.5046259280411194,-0.0008384595660598511,65,vectorized_elementwise_kernel,8.57,108,84.98,84.98,89.44,100.0,0.0,61.95
67,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",223589,223556,0.0,0.0,66,vectorized_elementwise_kernel,6.44,108,87.72,87.72,92.57,100.0,0.0,48.54
68,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",218692,218276,0.0,0.0,67,vectorized_elementwise_kernel,6.49,108,86.44,86.44,92.0,100.0,27.28,44.36
69,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",147842,147651,0.0,0.0,68,vectorized_elementwise_kernel,8.55,108,84.43,84.43,88.64,100.0,0.0,61.7
70,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",222757,222468,0.0,0.0,69,vectorized_elementwise_kernel,6.45,108,86.53,86.53,91.89,100.0,27.48,43.94
71,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,4109132,4107947,0.0,0.0,70,ampere_sgemm_128x32_tn,89.11,108,80.34,2.44,45.62,50.0,0.13,96.78
72,ampere_sgemm_64x32_sliced1x4_nt,ampere_sgemm_64x32_sliced1x4_nt,3935625,3937512,0.0,0.0,71,ampere_sgemm_64x32_sliced1x4_nt,92.96,108,53.0,6.38,23.89,25.0,0.09,82.76
73,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",119106,114850,0.0,0.0,72,reduce_kernel,11.51,108,59.43,59.43,56.33,62.5,4.9,20.83
74,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4000,3904,0.0,0.0,73,vectorized_elementwise_kernel,0.04,108,0.57,0.21,6.13,100.0,0.0,84.67
75,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",16032,15744,0.0,0.0,74,vectorized_elementwise_kernel,7.33,108,42.86,36.8,72.52,100.0,0.0,51.53
76,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",65698,65377,0.04258378328770056,-0.1147383606649444,75,layer_norm_grad_input_kernel_vectorized,37.28,108,66.04,66.04,65.24,75.0,44.62,53.8
77,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",96577,522506,1.0,4.410252958779005,76,GammaBetaBackwardCUDAKernel_32x32,12.07,108,38.49,38.49,49.9,100.0,0.09,18.7
78,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",53218,76770,1.0,0.4425570295764591,77,vectorized_elementwise_kernel,6.67,108,71.79,71.79,88.25,100.0,29.2,40.89
79,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4192,99745,1.0,22.79413167938931,78,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100.0,0.0,91.64
80,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3904,69570,1.0,16.82018442622951,79,vectorized_elementwise_kernel,0.02,108,0.51,0.1,6.18,100.0,0.0,89.41
81,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",43393,49952,1.0,0.1511534118406195,80,vectorized_elementwise_kernel,15.14,108,68.76,68.76,84.95,100.0,0.0,54.41
82,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,1044019,1044212,0.07970986734494528,0.002319192619235566,81,ampere_sgemm_128x32_tn,87.72,108,80.16,2.45,45.63,50.0,0.52,97.41
